name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Burkina Faso,0.0007604994324631101,0.0009392265193370166,0.001075268817204301,0.001256544502617801,0.0013238289205702647,0.001386138613861386,0.0014423076923076924,0.0014018691588785046,0.0013636363636363637,0.001327433628318584,0.001293103448275862,0.0012605042016806723,0.0011382113821138211,0.0011023622047244095,0.001,0.0008955223880597015,0.0007246376811594203,0.0006503496503496504,0.000564625850340136,0.00047019867549668876,,
Burundi,0.0007195571955719557,0.0008844765342960289,0.0010600706713780918,0.001265164644714038,0.0014650766609880749,0.0016442953020134228,0.0018211920529801326,0.0019639934533551553,0.0019386106623586429,0.002070063694267516,0.0021875,0.002134146341463415,0.002225519287833828,0.002158273381294964,0.0020891364902506965,0.0020215633423180594,0.001953125,0.001889168765743073,0.0018270401948842874,0.0017667844522968198,,
Cambodia,3.901895206243032e-05,6.458557588805168e-05,0.00011434511434511434,0.00017051153460381142,0.00023300970873786408,0.0002990654205607477,0.00037272727272727273,0.0004336283185840708,0.0004913793103448275,0.0005378151260504202,0.0005655737704918033,0.0005887096774193549,0.0006031746031746032,0.0005891472868217054,0.0005496183206106871,0.0004661654135338346,0.00035555555555555557,0.00021897810218978101,0.00016546762589928057,0.0001276595744680851,0.0001048951048951049,9.655172413793103e-05
Cameroon,5.128205128205128e-05,0.00010743801652892562,0.00016935483870967742,0.0002734375,0.00042748091603053435,0.0006222222222222223,0.0008695652173913044,0.0011267605633802818,0.001379310344827586,0.001610738255033557,0.0017647058823529412,0.0019745222929936305,0.0020496894409937887,0.0021212121212121214,0.0021176470588235292,0.0021839080459770113,0.00217877094972067,0.0020652173913043477,0.0019576719576719576,0.0019072164948453609,,
Canada,4.6931407942238266e-05,5.714285714285714e-05,6.690140845070422e-05,7.317073170731707e-05,7.93103448275862e-05,8.532423208191126e-05,7.77027027027027e-05,2.0066889632107023e-05,1.1589403973509934e-05,1.1475409836065573e-05,1.1400651465798046e-05,1.129032258064516e-05,1.1182108626198083e-05,1.1075949367088608e-05,1.0971786833855799e-05,1.0835913312693498e-05,1.0736196319018405e-05,1.0606060606060606e-05,1.7964071856287426e-05,1.0355029585798817e-05,1.023391812865497e-05,1.0144927536231884e-05
Cape Verde,,,,,,,,,,,,,,,,,,,,,,
Central African Republic,0.0003401360544217687,0.00053156146179402,0.0008064516129032258,0.0011635220125786163,0.0015902140672782875,0.0020597014925373136,0.0025,0.002840909090909091,0.0033333333333333335,0.003532608695652174,0.0037333333333333333,0.0039164490861618795,0.0038363171355498722,0.004020100502512563,0.003940886699507389,0.0036319612590799033,0.0035714285714285713,0.0032710280373831778,0.002758620689655172,0.0025,,
Chad,0.0002348993288590604,0.0002764227642276423,0.00033070866141732285,0.0003963414634146342,0.0004726735598227474,0.0005428571428571429,0.0006215469613259668,0.0006942590120160213,0.0007860824742268041,0.0008706467661691543,0.000947242206235012,0.0010277136258660508,0.0011111111111111111,0.001176470588235294,0.0012358393408856848,0.0012871287128712872,0.00125,0.0012037037037037038,0.0011711711711711711,0.0009565217391304348,,
Chile,,,,,,,,,,,,,,,,,,,,,,
China,,,,,,,,,,,,,,,,,,,,1.925925925925926e-05,,
Colombia,3.206997084548105e-05,4.297994269340974e-05,5.898876404494382e-05,8.011049723756906e-05,0.00010054347826086956,0.00012566844919786096,0.00014736842105263158,0.0001683937823834197,0.00018877551020408164,0.00020603015075376885,0.0002202970297029703,0.00022682926829268292,0.0001875,0.0001895734597156398,0.0002037470725995316,0.00021478060046189378,0.00022602739726027398,0.0002072072072072072,0.00021826280623608017,0.0002422907488986784,0.00023965141612200435,0.00020905172413793104
Comoros,0.00014563106796116506,0.00014150943396226416,0.00013761467889908258,0.00013363028953229398,0.00012987012987012987,0.0001263157894736842,0.0001226993865030675,0.00011952191235059761,0.00011650485436893204,0.00011342155009451796,0.00011070110701107011,0.0001079136690647482,0.00010544815465729349,0.00010291595197255574,0.00010050251256281407,9.80392156862745e-05,9.584664536741214e-05,9.345794392523364e-05,9.132420091324201e-05,8.915304606240714e-05,,
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,
"Congo, Rep.",0.0012295081967213116,0.0014342629482071714,0.0016279069767441861,0.0017735849056603773,0.001838235294117647,0.001892857142857143,0.0019097222222222222,0.0018918918918918919,0.0018360655737704918,0.0018152866242038216,0.0017647058823529412,0.001746987951807229,0.0017008797653958944,0.0016857142857142856,0.0016343490304709142,0.001532258064516129,0.001328125,0.001206030150753769,0.0012135922330097086,0.0012,,
Costa Rica,1.935483870967742e-05,1.8867924528301888e-05,1.8404907975460123e-05,1.7964071856287426e-05,4.373177842565598e-05,4.2735042735042735e-05,4.1666666666666665e-05,4.0760869565217395e-05,9.283819628647215e-05,9.09090909090909e-05,8.9058524173028e-05,3.75e-05,1.477832512315271e-05,1.4527845036319612e-05,3.579952267303102e-05,3.529411764705882e-05,3.480278422273782e-05,8.009153318077803e-05,7.900677200902934e-05,7.795100222717149e-05,7.692307692307693e-05,7.608695652173912e-05
Cote d'Ivoire,0.00031707317073170733,0.0004566929133858268,0.0006590909090909091,0.0008823529411764706,0.0012056737588652482,0.0015172413793103448,0.0018666666666666666,0.002207792207792208,0.0024528301886792454,0.0026993865030674846,0.002874251497005988,0.003,0.002988505747126437,0.0029943502824858756,0.0029444444444444444,0.00273224043715847,0.0025133689839572193,0.002356020942408377,0.0021025641025641025,0.0018090452261306533,,
Croatia,1.2552301255230125e-05,1.2605042016806723e-05,1.2684989429175475e-05,1.2765957446808511e-05,1.2875536480686696e-05,1.2987012987012988e-05,1.3129102844638949e-05,1.324503311258278e-05,1.3363028953229399e-05,1.3452914798206278e-05,1.3544018058690746e-05,1.3605442176870749e-05,1.3636363636363637e-05,1.366742596810934e-05,1.3698630136986302e-05,1.3698630136986302e-05,1.3729977116704805e-05,1.3761467889908258e-05,1.3793103448275862e-05,1.3824884792626728e-05,1.3856812933025404e-05,1.3921113689095128e-05
Cuba,5.660377358490566e-06,5.607476635514019e-06,5.607476635514019e-06,1.388888888888889e-05,1.3761467889908258e-05,1.3761467889908258e-05,1.3636363636363637e-05,1.3636363636363637e-05,1.3513513513513513e-05,1.3513513513513513e-05,3.125e-05,3.125e-05,1.3392857142857142e-05,5.357142857142857e-06,5.3097345132743365e-06,1.3274336283185841e-05,1.3274336283185841e-05,3.097345132743363e-05,1.3274336283185841e-05,1.3274336283185841e-05,1.3274336283185841e-05,1.3157894736842106e-05
Cyprus,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,5.825242718446602e-06,5.825242718446602e-06,5.769230769230769e-06,5.769230769230769e-06,5.769230769230769e-06,5.769230769230769e-06,5.769230769230769e-06,5.825242718446602e-06,5.825242718446602e-06,5.825242718446602e-06,5.825242718446602e-06,5.825242718446602e-06,5.825242718446602e-06,5.882352941176471e-06,5.882352941176471e-06,5.825242718446602e-06,5.825242718446602e-06,5.769230769230769e-06,5.769230769230769e-06,5.7142857142857145e-06,,
